# Total number of time periods
20
# DataFlag 1=Data, 0=MC
1
# Delta M^2_{32} and uncertainty  (in eV^2)
0.00243  0.00013
# ===============================================================
# First column is time period number, second column is row number
# The nominal period for each set of entries is one week
#
# Row 0 ==>  Start UTC  |  End UTC | Start date and time
# Row 1 ==>  Observed number of events in AD1 to AD6 
# Row 2 ==>  Live time in days for AD1 to AD6
# Row 3 ==>  Muon veto efficiency for AD1 to AD6
# Row 4 ==>  Multiplicity cut efficiency for AD1 to AD6
# Row 5 ==>  6 MeV neutron cut efficiency for AD1 to AD6
# Row 6 ==>  Uncorrelated reactor power uncertainty (relative error in %)
# Row 7 ==>  Total IBD cut efficiency uncertainty (relative error in %)
# Row 8 ==>  Total target mass for AD1 to AD6 (kg)
#### Note: The background estimates are *not* corrected for efficiencies anymore
# Row 9  ==>  Expected number of bkg events per live day (AD1 to AD6)
# Row 10 ==>  Absolute uncertainty on the bkg estimates per live day
# Row 11 ==>  Expected number of accidental events per live day (AD1 to AD6)
# Row 12 ==>  Absolute uncertainty on the accidental bkg per live day
# Row 13 ==>  Expected number of li9/he8 events per live day (AD1 to AD6)
# Row 14 ==>  Absolute uncertainty on the li9/he8 bkg per live day
# Row 15 ==>  Expected number of fast-n events per live day (AD1 to AD6)
# Row 16 ==>  Absolute uncertainty on the fast-n bkg per live day
# Row 17 ==>  Expected number of AmC-corr events per live day (AD1 to AD6)
# Row 18 ==>  Absolute uncertainty on the AmC-corr bkg per live day
# Row 19 ==>  Expected number of alpha-n events per live day (AD1 to AD6)
# Row 20 ==>  Absolute uncertainty on the alpha-n bkg per live day


# ===============================================================
4	6	0.8	0.8	0.8	0.8	0.8	0.8
4	7	0.3	0.3	0.3	0.3	0.3	0.3
4	8	19941	19966	19891	19913	19991	19892
4	9	14.694	14.561	12.99	4.1265	4.2709	3.9257
4	10	1.5718	1.5711	2.0719	0.3993	0.40106	0.39801
4	11	10.434	10.311	8.04	3.3165	3.4609	3.1157
4	12	0.29997	0.29893	0.27202	0.22459	0.2277	0.22229
4	13	3	3	4	0.5	0.5	0.5
4	14	1.5	1.5	2	0.25	0.25	0.25
4	15	0.98	0.98	0.7	0.07	0.07	0.07
4	16	0.29	0.29	0.42	0.07	0.07	0.07
4	17	0.2	0.2	0.2	0.2	0.2	0.2
4	18	0.2	0.2	0.2	0.2	0.2	0.2
4	19	0.08	0.07	0.05	0.04	0.04	0.04
4	20	0.04	0.04	0.03	0.02	0.02	0.02
5	0	1327104000	1327708800	2012-01-21 00:00:00
5	1	3787	3787	2455	407	410	399
5	2	6.7682	6.7682	6.7164	6.5469	6.5469	6.5469
5	3	0.8156	0.8115	0.8469	0.9819	0.9806	0.9815
5	4	0.97547	0.97574	0.97707	0.97496	0.97457	0.9745
5	5	0.88	0.88	0.88	0.88	0.88	0.88
5	6	0.8	0.8	0.8	0.8	0.8	0.8
5	7	0.3	0.3	0.3	0.3	0.3	0.3
5	8	19941	19966	19891	19913	19991	19892
5	9	14.172	14.254	12.5	3.9723	4.1336	4.0137
5	10	1.5616	1.5612	2.0658	0.37581	0.37723	0.37649
5	11	9.9115	10.004	7.5503	3.1623	3.3236	3.2037
5	12	0.24125	0.24183	0.22013	0.17953	0.18249	0.18096
5	13	3	3	4	0.5	0.5	0.5
5	14	1.5	1.5	2	0.25	0.25	0.25
5	15	0.98	0.98	0.7	0.07	0.07	0.07
5	16	0.29	0.29	0.42	0.07	0.07	0.07
5	17	0.2	0.2	0.2	0.2	0.2	0.2
5	18	0.2	0.2	0.2	0.2	0.2	0.2
5	19	0.08	0.07	0.05	0.04	0.04	0.04
5	20	0.04	0.04	0.03	0.02	0.02	0.02
6	0	1327708800	1328313600	2012-01-28 00:00:00
6	1	3421	3472	2496	413	428	384
6	2	6.0681	6.0681	6.0809	6.0206	6.0206	6.0206
6	3	0.8152	0.8116	0.8467	0.9821	0.981	0.9817
6	4	0.97547	0.97578	0.97711	0.97549	0.97511	0.97497
6	5	0.88	0.88	0.88	0.88	0.88	0.88
6	6	0.8	0.8	0.8	0.8	0.8	0.8
6	7	0.3	0.3	0.3	0.3	0.3	0.3
6	8	19941	19966	19891	19913	19991	19892
6	9	14.288	14.241	12.195	4.1325	4.1383	3.8872
6	10	1.5649	1.5645	2.0671	0.38193	0.38249	0.38077
6	11	10.028	9.9911	7.2446	3.3225	3.3283	3.0772
6	12	0.26182	0.26181	0.23273	0.19202	0.19313	0.1897
6	13	3	3	4	0.5	0.5	0.5
6	14	1.5	1.5	2	0.25	0.25	0.25
6	15	0.98	0.98	0.7	0.07	0.07	0.07
6	16	0.29	0.29	0.42	0.07	0.07	0.07
6	17	0.2	0.2	0.2	0.2	0.2	0.2
6	18	0.2	0.2	0.2	0.2	0.2	0.2
6	19	0.08	0.07	0.05	0.04	0.04	0.04
6	20	0.04	0.04	0.03	0.02	0.02	0.02
7	0	1328313600	1328918400	2012-02-04 00:00:00
7	1	3676	3689	2737	486	418	469
7	2	6.3574	6.3574	6.4007	6.4015	6.4015	6.4015
7	3	0.8147	0.8111	0.8466	0.9818	0.9808	0.9813
7	4	0.97549	0.97579	0.97714	0.97582	0.97545	0.97528
7	5	0.88	0.88	0.88	0.88	0.88	0.88
7	6	0.8	0.8	0.8	0.8	0.8	0.8
7	7	0.3	0.3	0.3	0.3	0.3	0.3
7	8	19941	19966	19891	19913	19991	19892
7	9	13.97	14.17	12.412	3.8351	4.0825	3.8367
7	10	1.5632	1.5628	2.0664	0.3754	0.37749	0.37591
7	11	9.7096	9.9199	7.4624	3.0251	3.2725	3.0267
7	12	0.25116	0.25197	0.22636	0.17868	0.18302	0.17975
7	13	3	3	4	0.5	0.5	0.5
7	14	1.5	1.5	2	0.25	0.25	0.25
7	15	0.98	0.98	0.7	0.07	0.07	0.07
7	16	0.29	0.29	0.42	0.07	0.07	0.07
7	17	0.2	0.2	0.2	0.2	0.2	0.2
7	18	0.2	0.2	0.2	0.2	0.2	0.2
7	19	0.08	0.07	0.05	0.04	0.04	0.04
