1.023	0.929501	0.0167298	6.77144e-07	5.41663e-06	0.0167298
1.024	0.929201	0.0167132	6.92435e-06	5.53406e-05	0.0167131
1.025	0.928987	0.0166969	1.40378e-05	0.00011208	0.0166965
1.026	0.928783	0.0166807	2.12382e-05	0.000169396	0.0166799
1.027	0.928719	0.0166649	2.98638e-05	0.000237901	0.0166632
1.028	0.928602	0.0166494	3.79167e-05	0.000301706	0.0166466
1.029	0.928554	0.0166342	4.66606e-05	0.000370819	0.01663
1.03	0.928516	0.0166193	5.54937e-05	0.00044046	0.0166134
1.031	0.928492	0.0166048	6.446e-05	0.000510971	0.0165968
1.032	0.928419	0.0165905	7.2891e-05	0.000577103	0.0165803
1.033	0.928443	0.0165768	8.23152e-05	0.000650836	0.0165638
1.034	0.928457	0.0165634	9.1603e-05	0.000723304	0.0165473
1.035	0.928448	0.0165502	0.000100652	0.000793718	0.0165309
1.036	0.928473	0.0165376	0.000110026	0.000866466	0.0165145
1.037	0.928454	0.016525	0.000118926	0.000935346	0.0164981
1.038	0.928475	0.016513	0.000128221	0.00100709	0.0164817
1.039	0.928494	0.0165013	0.000137479	0.00107835	0.0164654
1.04	0.928505	0.0164898	0.000146639	0.00114867	0.0164491
1.041	0.928566	0.016479	0.000156294	0.00122257	0.0164329
1.042	0.928605	0.0164684	0.000165706	0.00129441	0.0164166
1.043	0.928627	0.016458	0.000174926	0.00136459	0.0164004
1.044	0.928702	0.0164483	0.000184678	0.00143861	0.0163842
1.045	0.928696	0.0164384	0.000193571	0.0015059	0.0163681
1.046	0.928794	0.0164295	0.000203525	0.00158103	0.016352
1.047	0.928797	0.0164202	0.000212477	0.00164838	0.0163359
1.048	0.928856	0.0164117	0.000221997	0.00171981	0.0163198
1.049	0.928935	0.0164036	0.000231692	0.00179235	0.0163038
1.05	0.928964	0.0163955	0.00024087	0.0018608	0.0162878
1.051	0.929007	0.0163878	0.000250163	0.00192992	0.0162718
1.052	0.929059	0.0163804	0.000259534	0.00199943	0.0162559
1.053	0.929121	0.0163735	0.000269001	0.00206943	0.01624
1.054	0.929197	0.016367	0.000278584	0.00214008	0.0162241
1.055	0.929283	0.0163609	0.000288253	0.00221116	0.0162082
1.056	0.929311	0.0163545	0.000297313	0.00227755	0.0161924
1.057	0.929406	0.0163491	0.000307046	0.00234867	0.0161766
1.058	0.929441	0.0163434	0.000316144	0.00241494	0.0161609
1.059	0.929481	0.0163379	0.000325277	0.00248127	0.0161452
1.06	0.929585	0.0163335	0.000335054	0.00255208	0.0161294
1.061	0.929624	0.0163286	0.00034414	0.00261767	0.0161138
1.062	0.92972	0.0163247	0.000353799	0.0026872	0.0160981
1.063	0.929768	0.0163205	0.000362956	0.0027529	0.0160825
1.064	0.929857	0.016317	0.000372505	0.00282122	0.0160669
1.065	0.92992	0.0163135	0.000381781	0.00288738	0.0160514
1.066	0.929958	0.0163099	0.000390772	0.0029513	0.0160359
1.067	0.93003	0.016307	0.000400109	0.00301749	0.0160204
1.068	0.930141	0.0163048	0.000409821	0.00308614	0.0160049
1.069	0.930168	0.0163018	0.000418652	0.00314834	0.0159894
1.07	0.930297	0.0163005	0.00042852	0.00321766	0.015974
1.071	0.930339	0.0162982	0.000437477	0.00328036	0.0159586
1.072	0.930418	0.0162966	0.000446803	0.00334546	0.0159433
1.073	0.930471	0.0162949	0.000455845	0.00340837	0.015928
1.074	0.93056	0.016294	0.000465236	0.00347352	0.0159127
1.075	0.930621	0.0162929	0.000474322	0.00353634	0.0158974
1.076	0.930714	0.0162925	0.000483727	0.00360117	0.0158821
1.077	0.930776	0.0162918	0.000492795	0.00366348	0.0158669
1.078	0.930868	0.0162919	0.00050215	0.00372756	0.0158517
1.079	0.930925	0.0162916	0.000511134	0.0037889	0.0158366
1.08	0.931008	0.0162919	0.000520371	0.00385178	0.0158215
1.081	0.931115	0.0162929	0.000529844	0.00391606	0.0158064
1.082	0.931183	0.0162934	0.000538891	0.00397723	0.0157913
1.083	0.931225	0.0162936	0.000547664	0.00403637	0.0157763
1.084	0.93132	0.016295	0.000556953	0.0040988	0.0157612
1.085	0.931403	0.0162964	0.000566114	0.00416016	0.0157462
1.086	0.931474	0.0162977	0.000575137	0.0042204	0.0157313
1.087	0.931533	0.0162991	0.000584013	0.00427947	0.0157164
1.088	0.931639	0.0163014	0.000593368	0.00434154	0.0157014
1.089	0.931731	0.0163037	0.000602558	0.00440232	0.0156866
1.09	0.931808	0.0163059	0.000611572	0.00446172	0.0156717
1.091	0.931868	0.016308	0.0006204	0.00451971	0.0156569
1.092	0.931972	0.0163111	0.00062967	0.00458042	0.0156421
1.093	0.932004	0.016313	0.000638184	0.00463597	0.0156273
1.094	0.932095	0.0163162	0.000647289	0.00469521	0.0156126
1.095	0.932183	0.0163194	0.000656345	0.00475393	0.0155979
1.096	0.932267	0.0163228	0.000665346	0.0048121	0.0155832
1.097	0.932346	0.0163263	0.000674284	0.00486967	0.0155685
1.098	0.93242	0.0163298	0.000683152	0.00492661	0.0155539
1.099	0.932488	0.0163333	0.000691946	0.00498287	0.0155393
1.1	0.93255	0.0163369	0.000700657	0.00503842	0.0155247
1.101	0.932665	0.0163417	0.000709902	0.00509721	0.0155101
1.102	0.932711	0.0163452	0.000718425	0.00515119	0.0154956
1.103	0.932821	0.0163502	0.000727593	0.00520909	0.0154811
1.104	0.932886	0.0163544	0.000736275	0.00526372	0.0154667
1.105	0.932965	0.016359	0.000745096	0.00531904	0.0154522
1.106	0.933059	0.0163641	0.00075405	0.00537503	0.0154378
