#ToyEvents in each AD
0 7425250.363562
#Events in each cell for AD 0 
2 3 7 8476.211488 
2 3 8 34005.575357 
2 3 9 130066.785301 
2 4 0 99018.244177 
2 4 1 38040.007088 
2 4 2 19671.482101 
2 4 3 18674.172448 
2 4 4 19111.220256 
2 4 5 20058.192840 
2 4 6 19403.056704 
2 4 7 20725.530771 
2 4 8 45808.832577 
2 4 9 138643.487933 
2 5 0 122798.325783 
2 5 1 65485.519975 
2 5 2 50354.696139 
2 5 3 49917.291560 
2 5 4 51005.052667 
2 5 5 51448.117953 
2 5 6 52363.848493 
2 5 7 51528.342061 
2 5 8 74714.922424 
2 5 9 149521.242811 
2 6 0 143302.567378 
2 6 1 118340.303762 
2 6 2 110576.394093 
2 6 3 111446.726033 
2 6 4 115427.704266 
2 6 5 114774.674253 
2 6 6 113948.348517 
2 6 7 115310.033155 
2 6 8 127686.680468 
2 6 9 155861.803313 
2 7 0 154154.358147 
2 7 1 152315.342420 
2 7 2 148847.022312 
2 7 3 153794.966917 
2 7 4 158698.830286 
2 7 5 160157.261596 
2 7 6 155882.771655 
2 7 7 154400.161940 
2 7 8 158058.881797 
2 7 9 152234.163036 
2 8 0 143596.599746 
2 8 1 148940.084034 
2 8 2 150483.336038 
2 8 3 155414.020708 
2 8 4 163465.494517 
2 8 5 167835.750447 
2 8 6 159886.167890 
2 8 7 154122.992362 
2 8 8 152660.112726 
2 8 9 138416.538877 
2 9 0 88944.492013 
2 9 1 90940.007218 
2 9 2 92873.650561 
2 9 3 99967.362894 
2 9 4 103228.687486 
2 9 5 105392.801874 
2 9 6 97845.000131 
2 9 7 93815.316825 
2 9 8 92447.572068 
2 9 9 82081.340375 
#ToyEvents in each AD
3 7425250.363562 
#Events in each cell for AD 3 
3 0 0 31679.189434 
3 0 1 15154.557813 
3 0 2 5965.715456 
3 0 3 4708.179513 
3 0 4 4728.125166 
3 0 5 4693.570208 
3 0 6 4809.641863 
3 0 7 5605.554155 
3 0 8 20178.194847 
3 0 9 86834.154327 
3 1 0 47369.737064 
3 1 1 20026.734334 
3 1 2 6355.576463 
3 1 3 5153.105456 
3 1 4 5120.302264 
3 1 5 5044.613494 
3 1 6 5143.197655 
3 1 7 6129.944426 
3 1 8 25557.620301 
3 1 9 109852.342722 
3 2 0 62519.260310 
3 2 1 23639.788414 
3 2 2 6464.700836 
3 2 3 5267.799289 
