0.001 0.473544
0.005995 0.348323
0.01099 0.298811
0.015985 0.269468
0.02098 0.249519
0.025975 0.234795
0.03097 0.223456
0.035965 0.214439
0.04096 0.207123
0.045955 0.201037
0.05095 0.195926
0.055945 0.191596
0.06094 0.187897
0.065935 0.184729
0.07093 0.181986
0.075925 0.179626
0.08092 0.177589
0.085915 0.175839
0.09091 0.174326
0.095905 0.173029
0.1009 0.171927
0.105895 0.170992
0.11089 0.17021
0.115885 0.169566
0.12088 0.169048
0.125875 0.168643
0.13087 0.168338
0.135865 0.168126
0.14086 0.167999
0.145855 0.167949
0.15085 0.167968
0.155845 0.168052
0.16084 0.168195
0.165835 0.168391
0.17083 0.168637
0.175825 0.168929
0.18082 0.169261
0.185815 0.169632
0.19081 0.170037
0.195805 0.170475
0.2008 0.170943
0.205795 0.171439
0.21079 0.171959
0.215785 0.172502
0.22078 0.173066
0.225775 0.173654
0.23077 0.17426
0.235765 0.174881
0.24076 0.175518
0.245755 0.176167
0.25075 0.176834
0.255745 0.177513
0.26074 0.178202
0.265735 0.178898
0.27073 0.179607
0.275725 0.180327
0.28072 0.181054
0.285715 0.181785
0.29071 0.182524
0.295705 0.183271
0.3007 0.184025
0.305695 0.18478
0.31069 0.185542
0.315685 0.186308
0.32068 0.187079
0.325675 0.18785
0.33067 0.188628
0.335665 0.189408
0.34066 0.190186
0.345655 0.190971
0.35065 0.191757
0.355645 0.192546
0.36064 0.193331
0.365635 0.194121
0.37063 0.194911
0.375625 0.195703
0.38062 0.196492
0.385615 0.197284
0.39061 0.198076
0.395605 0.198868
0.4006 0.199657
0.405595 0.200449
0.41059 0.201238
0.415585 0.202026
0.42058 0.20281
0.425575 0.203596
0.43057 0.204381
0.435565 0.205165
0.44056 0.205946
0.445555 0.20673
0.45055 0.207514
0.455545 0.208296
0.46054 0.209073
0.465535 0.20985
0.47053 0.210626
0.475525 0.2114
0.48052 0.212173
0.485515 0.212941
0.49051 0.213711
0.495505 0.21448
0.5005 0.215249
0.505495 0.216012
0.51049 0.216775
0.515485 0.217537
0.52048 0.218296
0.525475 0.219049
0.53047 0.219804
0.535465 0.220557
0.54046 0.221309
0.545455 0.222056
0.55045 0.222804
0.555445 0.223551
0.56044 0.224294
0.565435 0.225033
0.57043 0.225771
0.575425 0.226508
0.58042 0.227242
0.585415 0.227972
0.59041 0.228702
0.595405 0.229431
0.6004 0.230159
0.605395 0.230881
0.61039 0.231603
0.615385 0.232323
0.62038 0.23304
0.625375 0.233753
0.63037 0.234465
