1.022 0.92254
1.04098 0.921003
1.05996 0.921406
1.07893 0.922108
1.09791 0.922924
1.11689 0.92379
1.13587 0.924675
1.15485 0.925576
1.17382 0.926504
1.1928 0.927478
1.21178 0.928518
1.23076 0.929663
1.24974 0.930929
1.26871 0.932301
1.28769 0.93376
1.30667 0.935289
1.32565 0.936878
1.34463 0.938513
1.3636 0.940183
1.38258 0.941881
1.40156 0.9436
1.42054 0.945337
1.43952 0.947085
1.45849 0.948839
1.47747 0.950598
1.49645 0.952353
1.51543 0.954103
1.53441 0.955845
1.55338 0.957579
1.57236 0.9593
1.59134 0.961011
1.61032 0.962711
1.6293 0.964395
1.64827 0.966067
1.66725 0.967716
1.68623 0.96935
1.70521 0.970965
1.72419 0.972562
1.74316 0.974141
1.76214 0.975699
1.78112 0.977239
1.8001 0.978758
1.81908 0.980257
1.83805 0.981737
1.85703 0.983195
1.87601 0.984633
1.89499 0.986056
1.91397 0.987452
1.93294 0.988834
1.95192 0.990193
1.9709 0.991534
1.98988 0.992855
2.00886 0.994158
2.02783 0.995436
2.04681 0.996698
2.06579 0.997947
2.08477 0.999169
2.10375 1.00038
2.12272 1.00156
2.1417 1.00274
2.16068 1.00389
2.17966 1.00502
2.19864 1.00614
2.21761 1.00725
2.23659 1.00833
2.25557 1.0094
2.27455 1.01045
2.29353 1.0115
2.3125 1.01252
2.33148 1.01352
2.35046 1.01452
2.36944 1.0155
2.38842 1.01647
2.40739 1.01742
2.42637 1.01836
2.44535 1.01929
2.46433 1.0202
2.48331 1.0211
2.50228 1.02199
2.52126 1.02287
2.54024 1.02373
2.55922 1.02458
2.5782 1.02542
2.59717 1.02625
2.61615 1.02707
2.63513 1.02787
2.65411 1.02866
2.67309 1.02945
2.69206 1.03022
2.71104 1.03098
2.73002 1.03173
2.749 1.03247
2.76798 1.0332
2.78695 1.03392
2.80593 1.03463
2.82491 1.03534
2.84389 1.03603
2.86287 1.03671
2.88184 1.03739
2.90082 1.03805
2.9198 1.03871
2.93878 1.03936
2.95776 1.04
2.97673 1.04063
2.99571 1.04126
3.01469 1.04187
3.03367 1.04248
3.05265 1.04308
3.07162 1.04367
3.0906 1.04425
3.10958 1.04483
3.12856 1.0454
3.14754 1.04596
3.16651 1.04652
3.18549 1.04706
3.20447 1.04761
3.22345 1.04814
3.24243 1.04867
3.2614 1.04919
3.28038 1.0497
3.29936 1.05021
3.31834 1.05071
3.33732 1.05121
3.35629 1.0517
3.37527 1.05218
3.39425 1.05266
3.41323 1.05313
3.43221 1.0536
3.45118 1.05405
3.47016 1.05451
3.48914 1.05495
3.50812 1.0554
3.5271 1.05584
3.54607 1.05627
3.56505 1.0567
3.58403 1.05712
3.60301 1.05754
3.62199 1.05795
3.64096 1.05836
3.65994 1.05876
3.67892 1.05916
3.6979 1.05955
3.71688 1.05994
3.73585 1.06032
3.75483 1.0607
3.77381 1.06108
3.79279 1.06145
3.81177 1.06182
3.83074 1.06218
3.84972 1.06254
3.8687 1.06289
3.88768 1.06325
3.90666 1.06359
3.92563 1.06393
3.94461 1.06427
3.96359 1.06461
3.98257 1.06493
4.00155 1.06526
4.02052 1.06558
4.0395 1.0659
4.05848 1.06622
4.07746 1.06653
4.09644 1.06684
4.11541 1.06714
4.13439 1.06744
4.15337 1.06774
4.17235 1.06803
4.19133 1.06833
4.2103 1.06861
4.22928 1.0689
4.24826 1.06918
4.26724 1.06946
4.28622 1.06973
4.30519 1.07
4.32417 1.07027
4.34315 1.07054
4.36213 1.0708
4.38111 1.07106
4.40008 1.07131
4.41906 1.07157
4.43804 1.07182
4.45702 1.07206
4.476 1.07231
4.49497 1.07255
4.51395 1.07279
4.53293 1.07303
4.55191 1.07326
4.57089 1.0735
4.58986 1.07372
4.60884 1.07395
4.62782 1.07417
4.6468 1.07439
4.66578 1.07461
4.68475 1.07483
4.70373 1.07504
4.72271 1.07525
4.74169 1.07547
4.76067 1.07568
4.77964 1.07588
4.79862 1.07608
4.8176 1.07628
4.83658 1.07648
4.85556 1.07667
4.87453 1.07687
4.89351 1.07706
4.91249 1.07725
4.93147 1.07744
4.95045 1.07762
4.96942 1.07781
4.9884 1.07799
5.00738 1.07817
5.02636 1.07835
5.04534 1.07852
5.06431 1.07869
5.08329 1.07887
5.10227 1.07904
5.12125 1.0792
5.14023 1.07937
5.1592 1.07954
5.17818 1.07971
5.19716 1.07986
5.21614 1.08002
5.23512 1.08018
5.25409 1.08034
5.27307 1.08049
5.29205 1.08064
5.31103 1.08079
5.33001 1.08094
5.34898 1.08109
5.36796 1.08124
5.38694 1.08138
5.40592 1.08153
5.4249 1.08167
5.44387 1.08181
5.46285 1.08195
5.48183 1.08209
5.50081 1.08222
5.51979 1.08236
5.53876 1.08249
5.55774 1.08262
5.57672 1.08275
5.5957 1.08288
5.61468 1.08301
5.63365 1.08313
5.65263 1.08326
5.67161 1.08338
5.69059 1.0835
5.70957 1.08362
5.72854 1.08374
5.74752 1.08386
5.7665 1.08398
5.78548 1.08409
5.80446 1.0842
5.82343 1.08432
5.84241 1.08443
5.86139 1.08454
5.88037 1.08465
5.89935 1.08476
5.91832 1.08487
5.9373 1.08498
5.95628 1.08508
5.97526 1.08518
5.99424 1.08528
6.01321 1.08539
6.03219 1.08549
6.05117 1.08559
6.07015 1.08568
6.08913 1.08578
6.1081 1.08587
6.12708 1.08596
6.14606 1.08606
6.16504 1.08615
6.18402 1.08624
6.20299 1.08633
6.22197 1.08642
6.24095 1.08651
6.25993 1.08659
6.27891 1.08668
6.29788 1.08677
6.31686 1.08685
